Id,DienTich,ViTri,SoPhongNgu,SoWC,SoTang,Gia,KinhDo,ViDo,Image
1,320,Ba Đình,1,2,3,331464,105.906597,21.012422,anh17.jpg
2,212,Hai Bà Trưng,4,4,3,187143,105.934041,20.993593,anh100.jpg
3,326,Đống Đa,5,2,4,328542,105.840177,21.023107,anh90.jpg
4,300,Hai Bà Trưng,6,1,5,250806,105.922937,21.025859,anh81.jpg
5,215,Long Biên,2,1,3,240400,105.944089,21.002076,anh86.jpg
6,372,Thanh Xuân,3,2,5,384737,105.79712,21.02843,anh28.jpg
7,96,Cầu Giấy,6,1,1,108907,105.936052,20.981797,anh52.jpg
8,62,Đống Đa,3,4,1,69678,105.807263,21.015132,anh88.jpg
9,365,Hoàn Kiếm,2,4,5,415990,105.847279,21.027489,anh66.jpg
10,396,Thanh Xuân,2,3,4,395118,105.87339,20.992247,anh23.jpg
11,366,Cầu Giấy,1,1,5,386619,105.927534,20.995605,anh55.jpg
12,131,Hoàn Kiếm,5,1,4,108489,105.922299,21.035333,anh57.jpg
13,102,Tây Hồ,1,1,3,101325,105.804869,21.017473,anh50.jpg
14,38,Thanh Xuân,4,1,1,42793,105.809962,20.981017,anh40.jpg
15,73,Thanh Xuân,5,3,3,79256,105.858541,21.016005,anh98.jpg
16,288,Long Biên,4,4,3,333905,105.926908,21.033842,anh25.jpg
17,120,Ba Đình,6,3,5,107019,105.892663,21.016944,anh7.jpg
18,126,Long Biên,6,1,5,102279,105.915251,21.009547,anh66.jpg
19,31,Long Biên,5,2,3,31290,105.883672,21.019013,anh66.jpg
20,56,Cầu Giấy,5,2,1,54068,105.790699,21.038663,anh29.jpg
21,346,Tây Hồ,1,4,2,309945,105.827157,21.002576,anh19.jpg
22,44,Hai Bà Trưng,3,1,2,46801,105.765172,20.985185,anh40.jpg
23,179,Hai Bà Trưng,2,4,4,151245,105.946372,21.013544,anh83.jpg
24,190,Thanh Xuân,5,2,4,227984,105.753276,21.030511,anh10.jpg
25,115,Đống Đa,6,3,1,128541,105.880975,21.005828,anh25.jpg
26,266,Thanh Xuân,4,4,3,297467,105.838279,21.003553,anh82.jpg
27,201,Thanh Xuân,6,1,1,212008,105.921831,20.984463,anh44.jpg
28,386,Hai Bà Trưng,4,1,3,379299,105.84699,20.984944,anh98.jpg
29,383,Long Biên,6,1,3,337242,105.75327,20.980374,anh95.jpg
30,257,Cầu Giấy,6,3,5,245007,105.868694,21.041649,anh81.jpg
31,99,Hoàn Kiếm,3,1,2,101557,105.868972,21.049633,anh72.jpg
32,112,Hoàn Kiếm,6,3,2,130336,105.913608,20.999286,anh41.jpg
33,336,Tây Hồ,2,4,3,400729,105.945778,21.004229,anh42.jpg
34,208,Ba Đình,4,1,4,202251,105.767109,21.01164,anh68.jpg
35,383,Cầu Giấy,2,4,4,319270,105.809798,20.985841,anh79.jpg
36,210,Hoàn Kiếm,5,3,4,203810,105.928592,21.020223,anh45.jpg
37,315,Hoàn Kiếm,1,4,3,334692,105.903553,20.980139,anh92.jpg
38,334,Long Biên,6,3,3,287280,105.871919,21.032578,anh74.jpg
39,125,Hai Bà Trưng,3,1,2,106391,105.790441,21.031028,anh14.jpg
40,153,Ba Đình,3,3,5,130483,105.840271,21.009852,anh13.jpg
41,149,Ba Đình,4,2,2,124314,105.834682,20.992818,anh39.jpg
42,219,Hoàn Kiếm,5,4,2,257748,105.80344,21.001054,anh48.jpg
